algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,BER_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Ours (Voting),3,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),0,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9411111111111111,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),1,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9455555555555556,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),6,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),2,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9433333333333334,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),3,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9355555555555556,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),4,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9344444444444444,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),7,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),8,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),5,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.94,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),9,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),10,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),6,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9344444444444444,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),7,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9522222222222222,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),11,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),8,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9377777777777778,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),12,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),9,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9411111111111111,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),10,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9533333333333334,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),13,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),14,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),15,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),11,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9477777777777778,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),12,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9488888888888889,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),16,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9433333333333334,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),14,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9355555555555556,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),18,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9322222222222222,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),19,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),16,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9477777777777778,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),0,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),17,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9433333333333334,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.93,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),3,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.015,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9366666666666666,1.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),0,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9244444444444444,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),1,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9288888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),2,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9233333333333333,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),3,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9188888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),6,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),7,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),8,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),4,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9277777777777778,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),5,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9288888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),9,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),10,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),6,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9255555555555556,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),7,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9244444444444444,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),11,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),8,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9288888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),9,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9311111111111111,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),12,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),13,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),14,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),10,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9288888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),15,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),11,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9155555555555556,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),12,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9255555555555556,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),16,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9244444444444444,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),14,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9088888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),18,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9933333333333333,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9255555555555556,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),19,1000,0.02,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,2.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),16,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9222222222222223,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),0,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),17,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9266666666666666,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9322222222222222,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.02,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9288888888888889,2.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),3,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9933333333333333,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),0,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9133333333333333,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.99,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),1,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9044444444444445,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),2,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.89,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),6,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),3,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9088888888888889,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),7,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9922222222222222,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),4,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9133333333333333,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),8,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),5,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9166666666666666,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),9,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9944444444444445,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),6,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8966666666666666,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),10,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),7,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),11,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),12,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9944444444444445,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),8,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9188888888888889,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),9,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9044444444444445,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),13,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),10,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8855555555555555,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),14,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),11,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9022222222222223,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),15,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),12,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8833333333333333,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),16,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),13,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.91,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),17,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),14,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.89,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),18,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),19,1000,0.025,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,2.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8933333333333333,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),16,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.91,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),0,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9944444444444445,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),17,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8977777777777778,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9944444444444445,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9244444444444444,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9977777777777778,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.025,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8922222222222222,2.5,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),3,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),0,1000,0.030000000000000002,281945.0,0.281945,0.0,62,0,62,0,0.0,0.8866666666666667,3.0000000000000004,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),4,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9955555555555555,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),1,1000,0.030000000000000002,281945.0,0.281945,0.0,62,0,62,0,0.0,0.88,3.0000000000000004,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),5,1000,0.030000000000000002,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9966666666666667,3.0000000000000004,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
