algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,BER_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Ours (Voting),18,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),15,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.96,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),19,1000,0.01,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Ours (Voting),0,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),16,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9688888888888889,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Baseline (Without Voting),17,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9533333333333334,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),1,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,0.9988888888888889,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),18,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9566666666666667,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
Ours (Voting),2,1000,0.015,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,1.5,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
Baseline (Without Voting),19,1000,0.01,281945.0,0.281945,0.0,62,0,62,0,0.0,0.9566666666666667,1.0,281.945,0.281945,0.281945,16.129032258064516,281.945,1.4187164163223325,3546.791040805831,0.079492983025,1.0
