BER,Baseline (Without Voting),Ours (Voting)
0.0,1.4187164163223325,2.7292576419213974
0.005,1.4187164163223325,2.7292576419213974
0.01,1.4187164163223325,2.7292576419213974
0.015,1.4187164163223325,2.7292576419213974
0.02,1.4187164163223325,2.7292576419213974
0.025,1.4187164163223325,2.7292576419213974
0.030000000000000002,1.4187164163223325,2.7292576419213974
0.035,1.4187164163223325,2.7292576419213974
0.04,1.4187164163223325,2.7292576419213974
0.045,1.4187164163223325,2.7292576419213974
0.049999999999999996,1.4187164163223325,2.7292576419213974
0.05499999999999999,1.4187164163223325,2.7292576419213974
0.05999999999999999,1.4187164163223325,2.7292576419213974
0.06499999999999999,1.4187164163223325,2.7292576419213974
0.06999999999999999,1.4187164163223325,2.7292576419213974
0.075,1.4187164163223325,2.7292576419213974
0.08,1.4187164163223325,2.7292576419213974
0.085,1.4187164163223325,2.7292576419213974
0.09000000000000001,1.4187164163223325,2.7292576419213974
0.09500000000000001,1.4187164163223325,2.7292576419213974
0.10000000000000002,1.4187164163223325,2.7292576419213974
