BER,Baseline (Without Voting),Ours (Voting)
0.0,16.129032258064516,62.5
0.005,16.129032258064516,62.5
0.01,16.129032258064516,62.5
0.015,16.129032258064516,62.5
0.02,16.129032258064516,62.5
0.025,16.129032258064516,62.5
0.030000000000000002,16.129032258064516,62.5
0.035,16.129032258064516,62.5
0.04,16.129032258064516,62.5
0.045,16.129032258064516,62.5
0.049999999999999996,16.129032258064516,62.5
0.05499999999999999,16.129032258064516,62.5
0.05999999999999999,16.129032258064516,62.5
0.06499999999999999,16.129032258064516,62.5
0.06999999999999999,16.129032258064516,62.5
0.075,16.129032258064516,62.5
0.08,16.129032258064516,62.5
0.085,16.129032258064516,62.5
0.09000000000000001,16.129032258064516,62.5
0.09500000000000001,16.129032258064516,62.5
0.10000000000000002,16.129032258064516,62.5
