BER,Baseline (Without Voting),Ours (Voting)
0.0,3546.7910408058315,6823.144104803493
0.005,3546.7910408058315,6823.144104803493
0.01,3546.7910408058315,6823.144104803493
0.015,3546.7910408058315,6823.144104803493
0.02,3546.7910408058315,6823.144104803493
0.025,3546.7910408058315,6823.144104803493
0.030000000000000002,3546.7910408058315,6823.144104803493
0.035,3546.7910408058315,6823.144104803493
0.04,3546.7910408058315,6823.144104803493
0.045,3546.7910408058315,6823.144104803493
0.049999999999999996,3546.7910408058315,6823.144104803493
0.05499999999999999,3546.7910408058315,6823.144104803493
0.05999999999999999,3546.7910408058315,6823.144104803493
0.06499999999999999,3546.7910408058315,6823.144104803493
0.06999999999999999,3546.7910408058315,6823.144104803493
0.075,3546.7910408058315,6823.144104803493
0.08,3546.7910408058315,6823.144104803493
0.085,3546.7910408058315,6823.144104803493
0.09000000000000001,3546.7910408058315,6823.144104803493
0.09500000000000001,3546.7910408058315,6823.144104803493
0.10000000000000002,3546.7910408058315,6823.144104803493
