BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,0.2326550387596899,0.9965642507002801,0.5803066354776245,0.20462962962962963,0.9533854045832634,1.0,1.0
0.005,0.2326550387596899,0.9961368166147577,0.581568573383777,0.20462962962962963,0.9454223249620688,1.0,1.0
0.01,0.2326550387596899,0.9961274509803921,0.5853742074322787,0.20462962962962963,0.9396265228852538,1.0,1.0
0.015,0.2326550387596899,0.9961274509803921,0.5815409183685916,0.20462962962962963,0.9474631323461802,1.0,1.0
0.02,0.2326550387596899,0.9961274509803921,0.5830818218732916,0.20462962962962963,0.947945557231305,1.0,1.0
0.025,0.2326550387596899,0.9961274509803921,0.5856556662835732,0.20462962962962963,0.9481091949386128,1.0,1.0
0.030000000000000002,0.2326550387596899,0.9961274509803921,0.5851715438869798,0.20462962962962963,0.9425058118912644,1.0,1.0
0.035,0.2326550387596899,0.9961274509803921,0.5887005147826025,0.20462962962962963,0.9380821446109628,1.0,1.0
0.04,0.2326550387596899,0.9961274509803921,0.5882887465432238,0.20462962962962963,0.9388524053911139,1.0,1.0
0.045,0.2326550387596899,0.9961274509803921,0.5886097205118797,0.20462962962962963,0.9515270704016956,1.0,1.0
0.049999999999999996,0.2326550387596899,0.9961274509803921,0.587331644644296,0.20462962962962963,0.9394645873935603,1.0,1.0
0.05499999999999999,0.2326550387596899,0.9961274509803921,0.5887903954359551,0.20462962962962963,0.9379657870138518,1.0,1.0
0.05999999999999999,0.2326550387596899,0.9961274509803921,0.5914119453123512,0.20462962962962963,0.9440021210413917,1.0,1.0
0.06499999999999999,0.2326550387596899,0.9961274509803921,0.5898317749356703,0.20462962962962963,0.9387376100229776,1.0,1.0
0.06999999999999999,0.2326550387596899,0.9961274509803921,0.5960785864439471,0.20462962962962963,0.9385129985067057,1.0,1.0
0.075,0.2326550387596899,0.9961274509803921,0.5945299508991683,0.20462962962962963,0.9349239114429746,1.0,1.0
0.08,0.2326550387596899,0.9961274509803921,0.595912211657137,0.20462962962962963,0.9390688441839158,1.0,1.0
0.085,0.2326550387596899,0.9961274509803921,0.6000413084978222,0.20462962962962963,0.9384966612123362,1.0,1.0
0.09000000000000001,0.2326550387596899,0.9961274509803921,0.5914783623213039,0.20462962962962963,0.9361719539042193,1.0,1.0
0.09500000000000001,0.2326550387596899,0.9961274509803921,0.5975103010435767,0.20462962962962963,0.9391219107932495,1.0,1.0
