BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,2428.1871801979655,776.0257138395219,1559.5065625565082,1944.128329888396,4211.607219789953,6823.144104803493,5205.047327355844
0.005,2428.1871801979655,400.0984023968882,1597.0933145992483,1944.128329888396,4166.1986554037985,6131.914472975632,5190.608651775027
0.01,2428.1871801979655,358.53076683392567,1650.7086650414644,1944.128329888396,4252.310821074132,5908.418531831639,5189.785608458455
0.015,2428.1871801979655,358.53076683392567,1672.9949558288504,1944.128329888396,4293.7412619229235,5745.568659797235,5177.519032312526
0.02,2428.1871801979655,358.53076683392567,1698.002211912394,1944.128329888396,4393.811838895622,5609.757530087969,5170.945711154694
0.025,2428.1871801979655,358.53076683392567,1752.262571690898,1944.128329888396,4489.791380275483,5583.370518508108,5167.4245556014885
0.030000000000000002,2428.1871801979655,358.53076683392567,1776.7964871461543,1944.128329888396,4358.7678490799035,5520.062263116289,5168.773611719806
0.035,2428.1871801979655,358.53076683392567,1807.2905382634247,1944.128329888396,4415.718019939329,5479.678633246905,5176.16997619421
0.04,2428.1871801979655,358.53076683392567,1885.6298205901498,1944.128329888396,4757.332655079672,5426.999332275086,5176.16997619421
0.045,2428.1871801979655,358.53076683392567,1862.0194607577178,1944.128329888396,4663.547931367937,5411.097649193218,5167.4245556014885
0.049999999999999996,2428.1871801979655,358.53076683392567,1928.029240076412,1944.128329888396,4782.891852017314,5438.699716970627,5167.4245556014885
0.05499999999999999,2428.1871801979655,358.53076683392567,2143.214688636726,1944.128329888396,4819.949915095583,5372.091368603873,5167.4245556014885
0.05999999999999999,2428.1871801979655,358.53076683392567,2174.3130769580944,1944.128329888396,4985.705005017046,5367.789239470638,5167.4245556014885
0.06499999999999999,2428.1871801979655,358.53076683392567,2073.540864927013,1944.128329888396,4987.1811960202995,5376.967734517556,5167.4245556014885
0.06999999999999999,2428.1871801979655,358.53076683392567,2079.0378117677683,1944.128329888396,5204.393153150976,5355.169970461154,5167.4245556014885
0.075,2428.1871801979655,358.53076683392567,2262.4239946830285,1944.128329888396,5174.486452726699,5350.580722937694,5167.4245556014885
0.08,2428.1871801979655,358.53076683392567,2233.8535193367384,1944.128329888396,5191.802465223066,5359.472099594389,5167.4245556014885
0.085,2428.1871801979655,358.53076683392567,2331.66545149847,1944.128329888396,5269.61295163904,5329.070077271515,5167.4245556014885
0.09000000000000001,2428.1871801979655,358.53076683392567,2402.2829619027375,1944.128329888396,5312.191956258638,5329.070077271515,5167.4245556014885
0.09500000000000001,2428.1871801979655,358.53076683392567,2460.5004856793594,1944.128329888396,5321.0071575467555,5337.674335537987,5167.4245556014885
