BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,0.205916375,0.6507953750000001,0.320776,0.25719125,0.11937137499999999,0.07328,0.096089875
0.005,0.205916375,1.29694125,0.31461825,0.25719125,0.121185875,0.0817051875,0.09634825
0.01,0.205916375,1.3945807499999998,0.30471575,0.25719125,0.118418375,0.08472825,0.09636325
0.015,0.205916375,1.3945807499999998,0.30003125,0.25719125,0.117426625,0.0871833125,0.096581625
0.02,0.205916375,1.3945807499999998,0.29717574999999996,0.25719125,0.11447787499999999,0.089202375,0.096695
0.025,0.205916375,1.3945807499999998,0.28853475,0.25719125,0.11228324999999999,0.089642625,0.09676
0.030000000000000002,0.205916375,1.3945807499999998,0.28465825,0.25719125,0.11559375000000001,0.090644875,0.09673499999999999
0.035,0.205916375,1.3945807499999998,0.28041499999999997,0.25719125,0.1139011875,0.09130525,0.096606625
0.04,0.205916375,1.3945807499999998,0.26998449999999996,0.25719125,0.106179125,0.09218575,0.096606625
0.045,0.205916375,1.3945807499999998,0.27449650000000003,0.25719125,0.10838937500000001,0.092430875,0.09676
0.049999999999999996,0.205916375,1.3945807499999998,0.26485975,0.25719125,0.10593137500000001,0.0920510625,0.09676
0.05499999999999999,0.205916375,1.3945807499999998,0.2509305,0.25719125,0.10526856250000001,0.09309125,0.09676
0.05999999999999999,0.205916375,1.3945807499999998,0.24267699999999998,0.25719125,0.10106625,0.093164625,0.09676
0.06499999999999999,0.205916375,1.3945807499999998,0.24693225000000002,0.25719125,0.101395375,0.093017875,0.09676
0.06999999999999999,0.205916375,1.3945807499999998,0.24513924999999998,0.25719125,0.0968266875,0.09338475,0.09676
0.075,0.205916375,1.3945807499999998,0.23215425,0.25719125,0.0977365,0.093458125,0.09676
0.08,0.205916375,1.3945807499999998,0.2294855,0.25719125,0.097547125,0.093311375,0.09676
0.085,0.205916375,1.3945807499999998,0.22570324999999997,0.25719125,0.09571874999999999,0.093825,0.09676
0.09000000000000001,0.205916375,1.3945807499999998,0.22412649999999998,0.25719125,0.0948565,0.093825,0.09676
0.09500000000000001,0.205916375,1.3945807499999998,0.214759,0.25719125,0.0951801875,0.09367825,0.09676
