TOTAL_TAGS,LODS (Adaptive),ISMTI (ComNet '25),CR-MTI (TMC '23),ECUMI (ComCom '22)
100.0,3427.175008000416,1400.0,800,2000
200.0,3561.2684314232047,1800.0,800,2000
300.0,3620.3193089398687,2200.0,800,2000
400.0,3468.7601161835705,2600.0,800,2000
500.0,3538.3421619833307,3000.0,800,2000
600.0,3533.7514348400296,3400.0,800,2000
700.0,3505.0706490832163,3800.0,800,2000
800.0,3448.9855701411743,4200.0,800,2000
900.0,3505.841945118,4600.0,800,2000
1000.0,3507.8869756804684,5000.0,800,2000
