noise_rate_pct,Adaptive (Ours),Fixed (rho=2),Fixed (rho=4)
0.0,76307.5,71760.0,140972.5
5.0,76307.5,71760.0,140972.5
10.0,76307.5,71760.0,140972.5
15.0,76307.5,71760.0,140972.5
20.0,76307.5,71760.0,140972.5
