noise_rate_pct,Adaptive (Ours),Fixed (rho=2),Fixed (rho=4)
0.0,76.3075,71.76,140.9725
5.0,76.3075,71.76,140.9725
10.0,76.3075,71.76,140.9725
15.0,76.3075,71.76,140.9725
20.0,76.3075,71.76,140.9725
