TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,2.6151874999999974e-05,0.00013242499999999993,3.933304e-05,2.744599999999999e-05,9.216982374999999e-05,3.75821e-05,2.9493781250000006e-05
150,5.3673281250000095e-05,0.00023028918749999996,8.276572500000016e-05,5.7377062499999984e-05,0.00016928444062500004,6.4734225e-05,5.0791125e-05
200,0.00010395474999999981,0.00039048475000000017,0.0001433533450000002,0.0001230322499999994,0.00022569509624999995,9.78509e-05,7.890531e-05
250,0.00013406093749999953,0.0005507728125000007,0.00021568915250000029,0.00016783062499999994,0.00028045543500000003,0.00012953285,0.00010910290000000001
300,0.00020939531250000094,0.0007501618125000033,0.0003029924699999995,0.00023092087500000127,0.0003704822362500001,0.00016526700000000003,0.000146371725
350,0.00031097040625000086,0.0009989859687500006,0.0004185194649999986,0.00037706331250000213,0.0004307045475,0.00020673122499999998,0.00018512285625
400,0.0004055142500000013,0.0013866489999999948,0.0005420726300000019,0.0004912280000000031,0.0004928716025,0.0002538748,0.000233234
450,0.0004652083125000009,0.0016759150312499918,0.0006884036100000023,0.000520521187500001,0.000575848501875,0.00030470540625,0.00028574088750000007
500,0.0005234534374999983,0.001947500937499998,0.0008584830850000005,0.0006567031249999997,0.0006510284237499998,0.0003509573,0.00033751513750000003
550,0.000658715750000003,0.002324722812499998,0.0010424982450000014,0.0007891503124999926,0.0007285066749999998,0.00040661960000000003,0.0004007859062499999
600,0.0008261414999999984,0.0027295042500000218,0.0012227540249999925,0.0009159922499999914,0.0008461271737500002,0.0004680285,0.000461334075
650,0.0010194230312500024,0.0035032009999999836,0.0014236910500000082,0.0011365631874999923,0.0009323836025,0.0005348922,0.0005365468775000001
700,0.001227771562499993,0.0038285891875000193,0.00164437877000001,0.0012696608750000153,0.00102375021,0.0005948726,0.0006045315499999999
750,0.0014588085937499876,0.004287001874999997,0.0018576115724999738,0.0028361484374999314,0.001101414511875,0.0006640665,0.0006886477781250001
800,0.001606930999999992,0.0053439249999999525,0.0020918017099999862,0.0016383539999999975,0.001197905185,0.0007397860000000001,0.0007665143000000003
850,0.0017291082499999856,0.005348191499999967,0.0023183471349999857,0.0016679890000000125,0.00130882639,0.0008209829250000001,0.0008588356562499995
900,0.0018377206874999816,0.006215042250000048,0.002617312815000021,0.0020267077500000256,0.00142695268875,0.0009036704249999999,0.0009535285124999997
950,0.001961673406250026,0.006978197093750067,0.002903208137500034,0.0022282630000000107,0.0015484594612500003,0.0009798861500000002,0.00104679905
1000,0.0020883437500000147,0.0076053000000000145,0.0031908452800000256,0.002319063750000003,0.0016360912037499998,0.0010684668874999998,0.0011569327500000003
