TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,0.8190469392276774,0.3000575688869517,0.6586680116026139,0.8097945545342178,0.7220371223176998,2.5284450063211126,1.9160877484934733
150,0.8810863824263846,0.330148101300724,0.6564943779476247,0.844988399809275,0.8033833283881908,2.5271138254185534,2.0261713803292527
200,0.7961112680704935,0.3069756727250508,0.6470744924492756,0.6806332969419343,1.0201381037779975,2.5254518191145134,1.9871465552801246
250,0.9635569132633022,0.32090232479701875,0.6562127101160828,0.7765936552588514,1.1976890480534743,2.7292576419213974,2.066969822240595
300,0.8815075724490201,0.32128296568437176,0.6620932849708977,0.8083614228112046,1.2289025638908782,2.6936026936026938,2.0388515183487916
350,0.803529682011211,0.3175234420087889,0.6430323878612662,0.666762132355181,1.3727909721501796,2.668064224117395,2.1045029363308965
400,0.8028469385107619,0.29174769920402743,0.642115678924407,0.6663450648253753,1.5504643976471857,2.6492259292987828,2.0554458894461005
450,0.8854234310219031,0.30054594802322016,0.6345984621214326,0.7970141472349022,1.5795773201440082,2.6704189456234237,2.0524017412253537
500,0.9712748720791862,0.31041028553580874,0.6238026250226032,0.7776513319553583,1.6846428879159814,2.7292576419213974,2.082018930942337
550,0.9319413736134379,0.30957737367473503,0.6180665909458487,0.781624379080075,1.77654555786657,2.7096933119842346,2.0642859511155525
600,0.8826307480393778,0.3108473658744664,0.6243943831876234,0.8004432667270163,1.7793916756514516,2.693224856221069,2.0941790137185223
650,0.8381622569902085,0.2820914363783725,0.6272248464607938,0.7553354968233124,1.8261017979615382,2.679445560880095,2.067313664155548
700,0.8061612252365821,0.2948151465624243,0.6276952205284262,0.7837293532312611,1.8934748502933512,2.7448289383393782,2.098085380900387
750,0.7781109829539166,0.3006607631550251,0.6362573245034586,0.39956675997662605,1.946418695658832,2.7313035621927026,2.0767223692817782
800,0.8034820522804651,0.2722416441376662,0.6413032119854629,0.7919001788343584,2.042607614270964,2.7154888940747184,2.101625194649254
850,0.842872432562495,0.3037463821066554,0.6520689016660696,0.8786193980336912,2.0963064897737236,2.7037235840241745,2.086979392299221
900,0.8890742079981372,0.292822354500132,0.6459616901844807,0.8092037841354017,2.065608459759644,2.710643817496298,2.085987602683284
950,0.9279224958617913,0.289585263215834,0.6476140452695672,0.8196517830850135,2.092742309584202,2.742074809275116,2.0974121246576205
1000,0.9657110123828584,0.29173981836485113,0.6518708338910069,0.8727641483231077,2.184150955929271,2.7338925821467024,2.081965461724802
