TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,31.5,0.275,23.425,9.35,0.85,0.0,0.25
150,43.75,0.125,37.7,12.475,0.475,0.0,0.0
200,65.1,0.35,51.4,22.0,0.475,0.05,0.05
250,66.5,0.55,62.85,26.125,0.6,0.0,0.0
300,86.75,0.325,73.325,31.175,0.6,0.0,0.0
350,110.55,0.825,90.05,35.9,0.7,0.0,0.0
400,126.65,1.175,101.325,40.375,0.675,0.0,0.0
450,128.3,0.9,117.425,52.375,0.65,0.425,0.425
500,129.95,0.75,133.425,54.025,0.25,0.0,0.0
550,148.8,1.175,149.825,65.175,0.625,0.0,0.1
600,171.8,0.75,161.375,64.525,0.275,0.0,0.0
650,199.05,1.4,173.325,72.95,0.75,0.05,0.05
700,219.75,1.7,184.975,76.225,0.125,0.0,0.0
750,245.25,1.2,193.475,80.275,0.175,0.0,0.0
800,252.9,1.45,202.125,95.475,0.475,0.0,0.0
850,260.4,1.7,211.1,93.125,0.25,0.025,0.025
900,256.55,1.875,226.175,102.4,0.3,0.2,0.2
950,256.95,2.2,236.925,115.05,0.125,0.0,0.0
1000,258.5,1.55,246.675,108.4,0.475,0.0,0.075
