TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,0.048864901875,0.1354038000000001,0.060967583040000065,0.049429446,0.05733998232375,0.0158575821,0.02090599378125
150,0.06815304828125004,0.18411416418750035,0.091689765725,0.0710701270625,0.07633359694062501,0.023807234224999994,0.029663291124999998
200,0.10059370475000025,0.2645017347500006,0.12396935334499988,0.11766528224999984,0.07984907009625002,0.0317753509,0.04035709281
250,0.10391781093750026,0.31662702281250044,0.15275093915249943,0.12894233062499974,0.08451145543500002,0.036769532849999995,0.0484891029
300,0.13634127031250037,0.37540028681250015,0.18172424246999894,0.14868817087499936,0.09913860723625004,0.04471526699999999,0.05903712172500001
350,0.1745433454062504,0.44730611096874995,0.21832601946499836,0.2103518133124978,0.10344770454750005,0.052679231225,0.06675249785625001
400,0.19969763925000042,0.5568907740000004,0.2498858226299979,0.24061522799999735,0.10458355910250003,0.060648874799999995,0.078078234
450,0.20375945831250042,0.6105381650312512,0.2844984036099982,0.226373271187498,0.11548178600187504,0.06771020540624999,0.08800036588750001
500,0.20643982843750042,0.6527428759375019,0.32163448308499853,0.25784795312499786,0.12002240342375006,0.0736309573,0.09642739013750001
550,0.23672671575000045,0.7180998478125029,0.357218998244999,0.282262900312499,0.12563925667500003,0.0815966196,0.10701566090625
600,0.27274164150000124,0.7820698792500039,0.38570450402499923,0.30075674225000026,0.13631668967375005,0.0895805285,0.11510195907500002
650,0.3112230480312526,0.9390120760000056,0.41612969104999953,0.3453583131875021,0.1443793836025,0.0975698922,0.12632142187750003
700,0.3485546465625039,0.9612644641875059,0.4478623787699999,0.3585399108750028,0.14941218771000003,0.1026048726,0.13408603155000004
750,0.3870094335937552,1.0124143768750056,0.47350236157250014,0.7536523984375217,0.15580572701187503,0.1105040665,0.14516983527812505
800,0.3998746810000057,1.1938894250000025,0.5011580517100006,0.4057368540000052,0.15847428018500004,0.11858228599999998,0.15304888930000005
850,0.4051131082500059,1.1314203165000039,0.5238823471350018,0.3886459890000039,0.16435257639000006,0.12657348292499998,0.16379946065625003
900,0.406755095687506,1.2485994172500015,0.5600615628150043,0.446916207750007,0.17644145268875006,0.133713670425,0.17357990351250005
950,0.4114805484062562,1.336878322093749,0.5897889581375062,0.46584626300000787,0.18383670946125008,0.13956238615,0.18225479905000005
1000,0.4162920937500064,1.390387049999998,0.6169425952800079,0.4606418137500077,0.1854025287037501,0.1473954043875,0.19333768275000004
