TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,0.0337500163375,0.026386360062499996,0.024228000064999995,0.020490212562499995,0.05883255769999997,0.01834211485,0.01834211485,0.03509421457499999
200,0.06564429453749995,0.049064015525000004,0.046911023375000006,0.03431039202499999,0.11737006980000006,0.03216995621499999,0.03216995621499999,0.06564429453749995
300,0.09707741122499992,0.07261049120000002,0.07261049120000002,0.048983432000000014,0.17601265330000015,0.04603104545,0.04603104545,0.09840243279999993
400,0.12906406506249993,0.09538327240000002,0.09538327240000002,0.06286685380000002,0.23476030820000027,0.05991586548750002,0.05991586548750002,0.12906406506249993
500,0.16059878987000004,0.12034069197500005,0.11818432765000005,0.07676270155000005,0.29361304620000084,0.07676270155000005,0.07676270155000005,0.16193758343750003
600,0.19271091571250018,0.14318378881250002,0.1410388401,0.09069596400000003,0.35257086010000166,0.09069596400000003,0.09069596400000003,0.19271091571250018
700,0.2243701115000003,0.16689861859999994,0.16689861859999994,0.10465415915000002,0.4116337391000024,0.10465415915000002,0.10465415915000002,0.22569985908750034
800,0.2565846756000004,0.18983682519999984,0.18983682519999984,0.11863726000000004,0.4708016958000032,0.11863726000000004,0.11863726000000004,0.2565846756000004
900,0.2883239327950001,0.2149674047749998,0.2127853812774998,0.13479631692500002,0.5300747320000033,0.1326308451825,0.1326308451825,0.2896890696250002
1000,0.32068552112499993,0.2379758224999997,0.23581364669499974,0.14881718030000007,0.5894205552000027,0.14666558070000005,0.14666558070000005,0.32068552112499993
