TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,1.186679522361492,1.5183146707155057,1.65391771759355,1.9559902200488999,0.680561463207146,2.1854937850020493,2.1854937850020493,1.1410640422193696
200,1.2211410036252623,1.634571180466874,1.7100411478651203,2.3388393509720804,0.6828851899274434,2.4955158699212356,2.4955158699212356,1.2211410036252623
300,1.239733457306679,1.6582602086644098,1.6582602086644098,2.4597724710464286,0.6836632958268053,2.617943823288792,2.617943823288792,1.2230234158024815
400,1.2444098775034027,1.684653856277968,1.684653856277968,2.557851404819951,0.6840530141085934,2.685464921114468,2.685464921114468,1.2444098775034027
500,1.2512121117332415,1.670564650851988,1.7010780582193967,2.6209743472135765,0.6842870584210077,2.6209743472135765,2.6209743472135765,1.2408487405385282
600,1.2523644902485163,1.6863702636710172,1.7120539296987858,2.6644462947543714,0.6844431769570798,2.6644462947543714,2.6644462947543714,1.2523644902485163
700,1.256055984209582,1.6893930252202243,1.6893930252202243,2.6963911693189204,0.6845547338182263,2.6963911693189204,2.6963911693189204,1.2486482268080314
800,1.2563800549666275,1.6989646933899656,1.6989646933899656,2.720857069977043,0.6846384253316218,2.720857069977043,2.720857069977043,1.2563800549666275
900,1.2590384094148095,1.6893873624439801,1.7068891944431275,2.6963767437505854,0.6847035328800343,2.7409776153494745,2.7409776153494745,1.2530237900489027
1000,1.2588017780575116,1.6971265526056196,1.7127320216660604,2.716145789125231,0.6847931596169834,2.7561021824884158,2.7561021824884158,1.2588017780575116
