algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
GS=24,11,100,0.1,24185.0,0.024184999999999995,4.32261e-05,6,0,6,0,0.0,24.185,0.024185,0.024228226099999996,16.666666666666668,242.28226099999995,1.6539177175935498,4134.794293983874,0.0005859596482285,1.0
GS=48,3,300,0.1,45837.5,0.0458375,0.00019354275,10,0,10,0,0.0,45.8375,0.0458375,0.04603104275,30.0,153.43680916666668,2.617943823288792,6544.85955822198,0.0021099479220531253,1.0
GS=8,0,500,0.1,161180.0,0.16118000000000005,0.0007577819999999992,63,0,63,0,0.0,161.18,0.16118,0.16193778200000006,7.936507936507937,323.8755640000001,1.2408487405385282,3102.121851346321,0.026101131702760006,1.0
GS=12,7,200,0.1,65512.5,0.06551249999999996,0.00013155749999999993,25,0,25,0,0.0,65.5125,0.0655125,0.06564405749999996,8.0,328.2202874999998,1.2211410036252623,3052.852509063156,0.004300506316968748,1.0
GS=16,12,600,0.1,142317.5,0.1423175,0.0008663737500000007,38,0,38,0,0.0,142.3175,0.1423175,0.14318387375000002,15.789473684210526,238.63978958333337,1.6863702636710174,4215.925659177543,0.02037757095241563,1.0
GS=16,17,300,0.1,72365.0,0.07236500000000001,0.00024558299999999996,19,0,19,0,0.0,72.365,0.072365,0.072610583,15.789473684210526,242.0352766666667,1.6582602086644098,4145.650521661024,0.005254464838795,1.0
GS=32,17,600,0.1,90075.0,0.09007500000000003,0.0006209640000000001,20,0,20,0,0.0,90.075,0.090075,0.09069596400000003,30.0,151.15994000000006,2.6644462947543714,6661.1157368859285,0.008169438957300003,1.0
GS=48,11,600,0.1,90075.0,0.09007500000000003,0.000620964,20,0,20,0,0.0,90.075,0.090075,0.09069596400000003,30.0,151.15994000000006,2.6644462947543714,6661.1157368859285,0.008169438957300003,1.0
GS=12,2,400,0.1,128575.0,0.1285749999999999,0.0004892579999999995,50,0,50,0,0.0,128.575,0.128575,0.1290642579999999,8.0,322.66064499999976,1.2444098775034027,3111.024693758507,0.016594436972349986,1.0
GS=8,11,500,0.1,161180.0,0.16118000000000005,0.0007576897499999991,63,0,63,0,0.0,161.18,0.16118,0.16193768975000006,7.936507936507937,323.8753795000001,1.2408487405385282,3102.121851346321,0.026101116833905008,1.0
GS=16,0,300,0.1,72365.0,0.07236500000000001,0.0002456009999999999,19,0,19,0,0.0,72.365,0.072365,0.07261060100000001,15.789473684210526,242.0353366666667,1.6582602086644098,4145.650521661024,0.005254466141365001,1.0
GS=16,14,600,0.1,142317.5,0.1423175,0.0008663737500000007,38,0,38,0,0.0,142.3175,0.1423175,0.14318387375000002,15.789473684210526,238.63978958333337,1.6863702636710174,4215.925659177543,0.02037757095241563,1.0
GS=32,6,300,0.1,48785.0,0.048785000000000016,0.000198405,11,0,11,0,0.0,48.785,0.048785,0.048983405000000015,27.272727272727273,163.2780166666667,2.4597724710464286,6149.43117761607,0.0023896554129250007,1.0
GS=24,17,300,0.1,72365.0,0.07236500000000001,0.00024558299999999996,19,0,19,0,0.0,72.365,0.072365,0.072610583,15.789473684210526,242.0352766666667,1.6582602086644098,4145.650521661024,0.005254464838795,1.0
GS=4,7,600,0.1,350650.0,0.3506500000000016,0.0019208520000000059,150,1,149,0,0.006666666666666667,350.65,0.35065,0.35257085200000166,4.0,587.6180866666695,0.6844431769570798,1711.1079423926992,0.12362896925380058,0.9933333333333333
GS=32,3,700,0.1,103842.5,0.10384250000000003,0.0008116672500000005,23,0,23,0,0.0,103.8425,0.1038425,0.10465416725000003,30.434782608695652,149.50595321428577,2.6963911693189204,6740.977923297301,0.010867550362658128,1.0
GS=64,14,400,0.1,59580.0,0.05958000000000002,0.0003350645999999999,13,0,13,0,0.0,59.58,0.05958,0.05991506460000002,30.76923076923077,149.78766150000004,2.685464921114468,6713.66230278617,0.003569739548868001,1.0
GS=8,10,300,0.1,98117.5,0.09811749999999993,0.0002848747500000001,38,0,38,0,0.0,98.1175,0.0981175,0.09840237474999992,7.894736842105263,328.0079158333331,1.2230234158024815,3057.5585395062044,0.009654995004533116,1.0
GS=8,9,1000,0.1,317762.5,0.31776249999999995,0.0029231864999999867,125,0,125,0,0.0,317.7625,0.3177625,0.32068568649999996,8.0,320.6856865,1.2588017780575116,3147.004445143779,0.10190188545645623,1.0
GS=4,5,800,0.1,467400.0,0.4674000000000032,0.0034016939999999968,200,0,200,0,0.0,467.4,0.4674,0.4708016940000032,4.0,588.502117500004,0.6846384253316218,1711.5960633290545,0.22005271177560148,1.0
GS=16,11,700,0.1,165740.0,0.16573999999999994,0.0011587454999999998,44,0,44,0,0.0,165.74,0.16574,0.16689874549999995,15.909090909090908,238.4267792857142,1.6893930252202243,4223.482563050561,0.02766179807916999,1.0
GS=8,4,900,0.1,287305.0,0.2873050000000002,0.002384081999999997,113,0,113,0,0.0,287.305,0.287305,0.2896890820000002,7.964601769911504,321.87675777777804,1.2530237900489027,3132.559475122257,0.08322912170401005,1.0
GS=24,15,500,0.1,117572.5,0.11757250000000005,0.0006117727499999999,31,0,31,0,0.0,117.5725,0.1175725,0.11818427275000006,16.129032258064516,236.36854550000012,1.7010780582193965,4252.695145548491,0.01389522040789938,1.0
GS=24,12,700,0.1,165740.0,0.16573999999999994,0.0011584755000000006,44,0,44,0,0.0,165.74,0.16574,0.16689847549999995,15.909090909090908,238.4263935714285,1.6893930252202243,4223.482563050561,0.02766175332936999,1.0
GS=12,18,300,0.1,96795.0,0.09679499999999992,0.00028246500000000014,37,0,37,0,0.0,96.795,0.096795,0.09707746499999992,8.108108108108109,323.59154999999976,1.239733457306679,3099.3336432666974,0.009396613224674992,1.0
GS=8,12,900,0.1,287305.0,0.2873050000000002,0.002384045999999998,113,0,113,0,0.0,287.305,0.287305,0.28968904600000017,7.964601769911504,321.87671777777797,1.2530237900489027,3132.559475122257,0.08322911136103005,1.0
GS=16,2,1000,0.1,235692.5,0.23569249999999972,0.0022833674999999986,63,0,63,0,0.0,235.6925,0.2356925,0.23797586749999972,15.873015873015873,237.9758674999997,1.6971265526056196,4242.816381514049,0.056089127150743684,1.0
GS=24,18,900,0.1,210910.0,0.2109099999999998,0.001875099149999998,56,0,56,0,0.0,210.91,0.21091,0.2127850991499998,16.071428571428573,236.42788794444422,1.7068891944431275,4267.2229861078185,0.04487850526172645,1.0
GS=24,9,200,0.1,46782.5,0.046782500000000005,0.0001279755,12,0,12,0,0.0,46.7825,0.0467825,0.04691047550000001,16.666666666666668,234.55237750000003,1.7100411478651205,4275.102869662802,0.0021945893200787502,1.0
GS=64,18,500,0.1,76307.5,0.07630750000000004,0.00045509625000000013,17,0,17,0,0.0,76.3075,0.0763075,0.07676259625000004,29.41176470588235,153.52519250000006,2.6209743472135765,6552.435868033942,0.0058575618133468775,1.0
GS=64,1,700,0.1,103842.5,0.10384250000000003,0.0008116132500000005,23,0,23,0,0.0,103.8425,0.1038425,0.10465411325000003,30.434782608695652,149.50587607142862,2.6963911693189204,6740.977923297301,0.010867544755163128,1.0
GS=24,11,300,0.1,72365.0,0.07236500000000001,0.0002454929999999999,19,0,19,0,0.0,72.365,0.072365,0.07261049300000001,15.789473684210526,242.03497666666672,1.6582602086644098,4145.650521661024,0.005254458325945001,1.0
GS=4,18,300,0.1,175525.0,0.17552500000000015,0.00048763350000000034,75,1,74,0,0.013333333333333334,175.525,0.175525,0.17601263350000015,4.0,586.7087783333338,0.6836632958268053,1709.1582395670134,0.030894617495087526,0.9866666666666667
GS=48,0,600,0.1,90075.0,0.09007500000000003,0.000621,20,0,20,0,0.0,90.075,0.090075,0.09069600000000003,30.0,151.16000000000005,2.6644462947543714,6661.1157368859285,0.008169442200000003,1.0
GS=12,7,800,0.1,254700.0,0.25470000000000037,0.0018846315000000042,100,0,100,0,0.0,254.7,0.2547,0.2565846315000004,8.0,320.7307893750005,1.2563800549666275,3140.950137416569,0.06535210564305009,1.0
GS=32,11,100,0.1,20450.0,0.020449999999999996,4.01625e-05,5,0,5,0,0.0,20.45,0.02045,0.020490162499999996,20.0,204.90162499999994,1.9559902200488999,4889.97555012225,0.0004190238231249999,1.0
GS=64,18,700,0.1,103842.5,0.10384250000000003,0.0008116672500000005,23,0,23,0,0.0,103.8425,0.1038425,0.10465416725000003,30.434782608695652,149.50595321428577,2.6963911693189204,6740.977923297301,0.010867550362658128,1.0
GS=8,14,500,0.1,161180.0,0.16118000000000005,0.0007573409999999993,63,0,63,0,0.0,161.18,0.16118,0.16193734100000004,7.936507936507937,323.87468200000006,1.2408487405385282,3102.121851346321,0.026101060622380004,1.0
GS=24,6,800,0.1,188350.0,0.18834999999999985,0.001486907999999999,50,0,50,0,0.0,188.35,0.18835,0.18983690799999986,16.0,237.29613499999982,1.6989646933899656,4247.411733474914,0.03575578162179997,1.0
GS=12,6,800,0.1,254700.0,0.25470000000000037,0.0018847417500000045,100,0,100,0,0.0,254.7,0.2547,0.2565847417500004,8.0,320.73092718750047,1.2563800549666275,3140.950137416569,0.0653521337237251,1.0
GS=16,1,500,0.1,119720.0,0.11972000000000005,0.0006209235000000002,32,0,32,0,0.0,119.72,0.11972,0.12034092350000004,15.625,240.6818470000001,1.670564650851988,4176.41162712997,0.014407215361420004,1.0
GS=16,1,800,0.1,188350.0,0.18834999999999985,0.0014869799999999993,50,0,50,0,0.0,188.35,0.18835,0.18983697999999985,16.0,237.2962249999998,1.6989646933899656,4247.411733474914,0.03575579518299997,1.0
GS=48,4,700,0.1,103842.5,0.10384250000000003,0.0008116312500000006,23,0,23,0,0.0,103.8425,0.1038425,0.10465413125000003,30.434782608695652,149.50590178571434,2.6963911693189204,6740.977923297301,0.01086754662432813,1.0
GS=64,17,700,0.1,103842.5,0.10384250000000003,0.0008116492500000003,23,0,23,0,0.0,103.8425,0.1038425,0.10465414925000004,30.434782608695652,149.50592750000004,2.6963911693189204,6740.977923297301,0.01086754849349313,1.0
GS=48,15,400,0.1,59580.0,0.05958000000000002,0.0003360671999999999,13,0,13,0,0.0,59.58,0.05958,0.05991606720000002,30.76923076923077,149.79016800000005,2.685464921114468,6713.66230278617,0.003569799283776001,1.0
GS=64,9,800,0.1,117610.0,0.11761000000000002,0.0010272599999999997,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
GS=16,13,200,0.1,48942.5,0.04894250000000001,0.00012142575,13,0,13,0,0.0,48.9425,0.0489425,0.04906392575000001,15.384615384615385,245.31962875000005,1.6345711804668743,4086.427951167186,0.0024013111860193754,1.0
GS=64,8,1000,0.1,145132.5,0.14513250000000005,0.0015331094999999997,32,0,32,0,0.0,145.1325,0.1451325,0.14666560950000004,31.25,146.66560950000004,2.7561021824884158,6890.25545622104,0.021285946570758756,1.0
GS=12,4,800,0.1,254700.0,0.25470000000000037,0.0018846315000000044,100,0,100,0,0.0,254.7,0.2547,0.2565846315000004,8.0,320.7307893750005,1.2563800549666275,3140.950137416569,0.06535210564305009,1.0
GS=32,18,200,0.1,34205.0,0.03420499999999999,0.00010522799999999999,8,0,8,0,0.0,34.205,0.034205,0.03431022799999999,25.0,171.55113999999995,2.3388393509720804,5847.0983774302,0.0011735813487399997,1.0
GS=32,2,100,0.1,20450.0,0.020449999999999996,4.0162499999999994e-05,5,0,5,0,0.0,20.45,0.02045,0.020490162499999996,20.0,204.90162499999994,1.9559902200488999,4889.97555012225,0.0004190238231249999,1.0
GS=64,18,200,0.1,32057.5,0.03205749999999999,0.00011217870000000002,7,0,7,0,0.0,32.0575,0.0320575,0.03216967869999999,28.571428571428573,160.84839349999996,2.4955158699212356,6238.789674803088,0.0010312794749252497,1.0
GS=32,12,600,0.1,90075.0,0.09007500000000003,0.000620928,20,0,20,0,0.0,90.075,0.090075,0.09069592800000004,30.0,151.15988000000007,2.6644462947543714,6661.1157368859285,0.008169435714600003,1.0
GS=64,8,300,0.1,45837.5,0.0458375,0.00019343475000000002,10,0,10,0,0.0,45.8375,0.0458375,0.04603093475,30.0,153.43644916666668,2.617943823288792,6544.85955822198,0.0021099429716031253,1.0
GS=48,14,400,0.1,59580.0,0.05958000000000002,0.0003350645999999999,13,0,13,0,0.0,59.58,0.05958,0.05991506460000002,30.76923076923077,149.78766150000004,2.685464921114468,6713.66230278617,0.003569739548868001,1.0
GS=8,14,1000,0.1,317762.5,0.31776249999999995,0.0029228557499999877,125,0,125,0,0.0,317.7625,0.3177625,0.32068535574999996,8.0,320.6853557499999,1.2588017780575116,3147.004445143779,0.10190178035650936,1.0
GS=48,18,700,0.1,103842.5,0.10384250000000003,0.0008116672500000005,23,0,23,0,0.0,103.8425,0.1038425,0.10465416725000003,30.434782608695652,149.50595321428577,2.6963911693189204,6740.977923297301,0.010867550362658128,1.0
GS=32,10,700,0.1,103842.5,0.10384250000000003,0.0008116492500000004,23,0,23,0,0.0,103.8425,0.1038425,0.10465414925000004,30.434782608695652,149.50592750000004,2.6963911693189204,6740.977923297301,0.01086754849349313,1.0
GS=24,12,200,0.1,46782.5,0.046782500000000005,0.00012847409999999998,12,0,12,0,0.0,46.7825,0.0467825,0.0469109741,16.666666666666668,234.5548705,1.7100411478651205,4275.102869662802,0.00219461264583325,1.0
GS=16,13,700,0.1,165740.0,0.16573999999999994,0.0011584575,44,0,44,0,0.0,165.74,0.16574,0.16689845749999993,15.909090909090908,238.42636785714276,1.6893930252202243,4223.482563050561,0.02766175034604999,1.0
GS=16,18,900,0.1,213095.0,0.21309499999999978,0.001872263249999998,57,0,57,0,0.0,213.095,0.213095,0.2149672632499998,15.789473684210526,238.852514722222,1.6893873624439804,4223.468406109951,0.045808448962258705,1.0
GS=32,18,300,0.1,48785.0,0.048785000000000016,0.00019831500000000001,11,0,11,0,0.0,48.785,0.048785,0.04898331500000001,27.272727272727273,163.27771666666672,2.4597724710464286,6149.43117761607,0.002389651022275001,1.0
GS=4,2,200,0.1,117150.0,0.11715000000000006,0.0002200679999999998,50,0,50,0,0.0,117.15,0.11715,0.11737006800000006,4.0,586.8503400000003,0.6828851899274434,1707.2129748186085,0.013749903466200008,1.0
GS=8,5,500,0.1,161180.0,0.16118000000000005,0.0007575614999999992,63,0,63,0,0.0,161.18,0.16118,0.16193756150000005,7.936507936507937,323.8751230000001,1.2408487405385282,3102.121851346321,0.026101096162570007,1.0
GS=16,2,400,0.1,94975.0,0.09497500000000003,0.00040838399999999986,25,0,25,0,0.0,94.975,0.094975,0.09538338400000003,16.0,238.4584600000001,1.684653856277968,4211.63464069492,0.009059036895400004,1.0
GS=4,12,800,0.1,467400.0,0.4674000000000032,0.0034016939999999963,200,1,199,0,0.005,467.4,0.4674,0.4708016940000032,4.0,588.502117500004,0.6846384253316218,1711.5960633290545,0.22005271177560148,0.995
GS=12,14,800,0.1,254700.0,0.25470000000000037,0.0018844110000000047,100,0,100,0,0.0,254.7,0.2547,0.2565844110000004,8.0,320.7305137500005,1.2563800549666275,3140.950137416569,0.06535204948170009,1.0
GS=24,0,900,0.1,210910.0,0.2109099999999998,0.0018756904499999986,56,0,56,0,0.0,210.91,0.21091,0.2127856904499998,16.071428571428573,236.4285449444442,1.7068891944431275,4267.2229861078185,0.044878629972809454,1.0
GS=32,9,300,0.1,48785.0,0.048785000000000016,0.00019840500000000002,11,0,11,0,0.0,48.785,0.048785,0.048983405000000015,27.272727272727273,163.2780166666667,2.4597724710464286,6149.43117761607,0.0023896554129250007,1.0
GS=12,0,900,0.1,285932.5,0.28593250000000014,0.002391383699999998,112,0,112,0,0.0,285.9325,0.2859325,0.2883238837000001,8.035714285714286,320.3598707777779,1.2590384094148095,3147.596023537024,0.08244116887605028,1.0
GS=24,3,500,0.1,117572.5,0.11757250000000005,0.00061168275,31,0,31,0,0.0,117.5725,0.1175725,0.11818418275000005,16.129032258064516,236.3683655000001,1.7010780582193965,4252.695145548491,0.01389520982637438,1.0
GS=8,17,400,0.1,128575.0,0.1285749999999999,0.0004890374999999993,50,0,50,0,0.0,128.575,0.128575,0.12906403749999992,8.0,322.6600937499998,1.2444098775034027,3111.024693758507,0.01659440862156249,1.0
GS=24,18,100,0.1,24185.0,0.024184999999999995,4.292010000000001e-05,6,0,6,0,0.0,24.185,0.024185,0.024227920099999994,16.666666666666668,242.27920099999994,1.6539177175935498,4134.794293983874,0.0005859522476184999,1.0
GS=12,16,100,0.1,33707.5,0.0337075,4.25853e-05,12,0,12,0,0.0,33.7075,0.0337075,0.0337500853,8.333333333333334,337.50085300000006,1.186679522361492,2966.6988059037303,0.0011376310002497501,1.0
GS=12,8,300,0.1,96795.0,0.09679499999999992,0.0002821702500000001,37,0,37,0,0.0,96.795,0.096795,0.09707717024999993,8.108108108108109,323.59056749999974,1.239733457306679,3099.3336432666974,0.009396584694348743,1.0
GS=16,9,800,0.1,188350.0,0.18834999999999985,0.0014869079999999995,50,0,50,0,0.0,188.35,0.18835,0.18983690799999986,16.0,237.29613499999982,1.6989646933899656,4247.411733474914,0.03575578162179997,1.0
