TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,12,7,6,5,25,4,4,13
200,25,13,12,8,50,7,7,25
300,37,19,19,11,75,10,10,38
400,50,25,25,14,100,13,13,50
500,62,32,31,17,125,17,17,63
600,75,38,37,20,150,20,20,75
700,87,44,44,23,175,23,23,88
800,100,50,50,26,200,26,26,100
900,112,57,56,30,225,29,29,113
1000,125,63,62,33,250,32,32,125
