Round,Adaptive,Fixed-Fast,Fixed-Robust
164,79302.5,73180.0,146560.0
165,79302.5,73180.0,146560.0
166,79302.5,73180.0,146560.0
167,79302.5,73180.0,146560.0
168,79302.5,73180.0,146560.0
169,79302.5,73180.0,146560.0
170,79302.5,73180.0,146560.0
171,79302.5,73180.0,146560.0
172,79302.5,73180.0,146560.0
173,79302.5,73180.0,146560.0
174,79302.5,73180.0,146560.0
175,79302.5,73180.0,146560.0
176,79302.5,73180.0,146560.0
177,79302.5,73180.0,146560.0
178,79302.5,73180.0,146560.0
179,79302.5,73180.0,146560.0
180,79302.5,73180.0,146560.0
181,79302.5,73180.0,146560.0
182,79302.5,73180.0,146560.0
183,79302.5,73180.0,146560.0
184,79302.5,73180.0,146560.0
185,79302.5,73180.0,146560.0
186,79302.5,73180.0,146560.0
187,79302.5,73180.0,146560.0
188,79302.5,73180.0,146560.0
189,79302.5,73180.0,146560.0
190,79302.5,73180.0,146560.0
191,79302.5,73180.0,146560.0
192,79302.5,73180.0,146560.0
193,79302.5,73180.0,146560.0
194,79302.5,73180.0,146560.0
195,79302.5,73180.0,146560.0
196,79302.5,73180.0,146560.0
197,79302.5,73180.0,146560.0
198,79302.5,73180.0,146560.0
199,79302.5,73180.0,146560.0
200,79302.5,73180.0,146560.0
