algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Time_ms,Recall,Env_Severity,Real_BER,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
Fixed-Fast,0,14,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,13,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,15,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,16,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,14,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,15,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,15,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,16,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,17,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,16,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,18,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,17,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,13,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,18,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,14,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,19,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,20,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,20,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,19,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,21,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,17,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,21,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,23,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,18,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,22,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
