Metric_Value,LODS (rho=2),LODS (rho=4)
0,1.0,1.0
1,0.9922,1.0
2,0.988,0.9860800000000001
3,0.98444,0.9801599999999999
4,0.98004,0.97616
5,0.97592,0.97128
6,0.9716799999999999,0.9668800000000001
7,0.96712,0.9621999999999999
8,0.96384,0.95616
