Metric_Value,LODS (rho=2),LODS (rho=4)
0,36.59,73.28
1,36.59,84.0221
2,36.59,76.86070000000001
3,36.59,78.7978
4,36.59,78.35755
5,36.59,78.47494999999999
6,36.59,77.0955
7,36.59,78.35755
8,36.59,77.976
