Metric_Value,LODS (rho=2),LODS (rho=4)
0,36590.0,73280.0
1,36590.0,84022.1
2,36590.0,76860.7
3,36590.0,78797.8
4,36590.0,78357.55
5,36590.0,78474.95
6,36590.0,77095.5
7,36590.0,78357.55
8,36590.0,77976.0
