K,calc_py,calc_cpp,air_time,overhead_pct
4,0.006991203874349594,0.00034956019371747973,5.736,0.006094145636636676
8,0.01180880144238472,0.000590440072119236,11.172,0.005284998855345828
16,0.021173598244786263,0.001058679912239313,22.044,0.004802576266736132
32,0.0435544028878212,0.00217772014439106,43.788,0.004973326355145383
48,0.0744016058743,0.003720080293715,65.532,0.005676738530359214
64,0.07980719953775406,0.003990359976887703,87.276,0.004572116019166441
96,0.11730720661580563,0.0058653603307902815,130.764,0.004485454965273531
128,0.1695287935435772,0.00847643967717886,174.252,0.0048644719585306685
