TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,2.0,2.95
150,3.0,4.2
200,3.9,3.9
250,4.0,6.05
300,5.0,6.75
350,6.0,7.75
400,7.0,7.0
450,7.25,7.25
500,8.0,9.6
550,9.0,9.85
600,10.0,10.9
650,11.0,11.3
700,11.0,13.6
750,12.0,13.75
800,13.0,13.0
850,14.0,14.3
900,14.65,14.65
950,15.0,17.2
1000,16.0,17.0
