TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,0.0,0.05
150,0.0,0.55
200,0.1,0.1
250,0.0,0.55
300,0.0,0.25
350,0.0,0.85
400,0.0,0.0
450,0.55,0.55
500,0.0,0.35
550,0.0,0.65
600,0.0,0.1
650,0.0,0.45
700,0.0,0.3
750,0.0,1.05
800,0.0,0.0
850,0.0,0.5
900,0.15,0.15
950,0.0,0.65
1000,0.0,0.0
