TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,50.0,33.333333333333336
150,50.0,30.0
200,50.0,50.0
250,62.5,35.714285714285715
300,60.0,42.857142857142854
350,58.333333333333336,38.888888888888886
400,57.142857142857146,57.142857142857146
450,56.25,56.25
500,62.5,50.0
550,61.11111111111111,50.0
600,60.0,54.54545454545455
650,59.0909090909091,54.166666666666664
700,63.63636363636364,50.0
750,62.5,50.0
800,61.53846153846153,61.53846153846153
850,60.71428571428571,56.666666666666664
900,60.0,60.0
950,63.333333333333336,52.777777777777786
1000,62.5,58.82352941176471
