TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,0.0,0.0
150,0.0,0.25
200,0.0,0.0
250,0.0,0.4
300,0.0,0.0
350,0.0,0.4
400,0.0,0.0
450,0.2,0.2
500,0.0,0.05
550,0.0,0.5
600,0.0,0.0
650,0.0,0.25
700,0.0,0.1
750,0.0,0.2
800,0.0,0.0
850,0.0,0.2
900,0.2,0.2
950,0.0,0.15
1000,0.0,0.0
