TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,15820.0,17967.5
150,23742.5,27917.5
200,31677.5,31677.5
250,36640.0,44483.25
300,44550.0,49625.0
350,52472.5,59497.0
400,60395.0,60395.0
450,67453.5,67453.5
500,73280.0,78276.5
550,81190.0,85285.0
600,89112.5,92011.25
650,97035.0,99095.0
700,102010.0,109958.0
750,109920.0,117038.5
800,117842.5,117842.5
850,125752.5,127848.5
900,132771.0,132771.0
950,138650.0,145792.0
1000,146560.0,149520.0
