TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,2,3
150,3,5
200,4,4
250,4,7
300,5,7
350,6,9
400,7,7
450,8,8
500,8,10
550,9,11
600,10,11
650,11,12
700,11,14
750,12,15
800,13,13
850,14,15
900,15,15
950,15,18
1000,16,17
