algorithm_name,run_id,TOTAL_TAGS,Drift_Rate,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,Drift_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-Fixed-128 (Stress),0,1000,0.0,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,6832.46788740093,0.0,73.18,0.07318,0.07318000000000001,125.0,73.18000000000002,5.4659743099207425,13664.93577480186,0.0053553124,1.0
LODS-MTI (Adaptive),0,1000,0.0,176592.5,0.17659250000000007,0.0,28,0,28,0,0.0,1.0,2831.377323499016,0.0,176.5925,0.1765925,0.17659250000000007,35.714285714285715,176.59250000000006,2.2651018587992127,5662.754646998032,0.031184911056250014,1.0
LODS-MTI (Adaptive),1,1000,0.0,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,1.0,2623.157232044489,0.0,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS-Fixed-128 (Stress),1,1000,0.0,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,6832.46788740093,0.0,73.18,0.07318,0.07318000000000001,125.0,73.18000000000002,5.4659743099207425,13664.93577480186,0.0053553124,1.0
ISMTI,0,1000,0.0,200345.0,0.20034500000000008,0.0,44,0,43,1,0.0,1.0,2495.694926252215,0.0,200.345,0.200345,0.20034500000000008,22.727272727272727,200.34500000000008,1.996555941001772,4991.38985250443,0.040138119025000016,0.9772727272727273
CTMTI,0,1000,0.0,634280.0,0.6342800000000093,0.0,628,277,351,0,0.4410828025477707,1.0,788.295390048559,0.0,634.28,0.63428,0.6342800000000093,1.5923566878980893,634.2800000000093,0.6306363120388472,1576.590780097118,0.4023111184000059,0.5589171974522293
CTMTI,1,1000,0.0,615090.0,0.615090000000008,0.0,609,243,366,0,0.39901477832512317,1.0,812.8891706904681,0.0,615.09,0.61509,0.615090000000008,1.6420361247947455,615.090000000008,0.6503113365523744,1625.7783413809361,0.37833570810000494,0.6009852216748769
ISMTI,1,1000,0.0,192840.0,0.19284000000000012,0.0,43,0,41,2,0.0,1.0,2592.823065753993,0.0,192.84,0.19284,0.19284000000000012,23.25581395348837,192.84000000000012,2.0742584526031944,5185.646131507986,0.037187265600000026,0.9534883720930233
CPT,0,1000,0.0,409447.5,0.4094475000000062,0.0,514,250,125,139,0.48638132295719844,1.0,1221.1577796909248,0.0,409.4475,0.4094475,0.4094475000000062,1.9455252918287937,409.4475000000062,0.97692622375274,2442.3155593818497,0.16764725525625254,0.24319066147859922
LODS-MTI (Adaptive),2,1000,0.0,185650.0,0.18565000000000006,0.0,30,0,30,0,0.0,1.0,2693.23996768112,0.0,185.65,0.18565,0.18565000000000006,33.333333333333336,185.65000000000006,2.1545919741448962,5386.47993536224,0.03446592250000002,1.0
LODS-Fixed-128 (Stress),2,1000,0.0,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,6832.46788740093,0.0,73.18,0.07318,0.07318000000000001,125.0,73.18000000000002,5.4659743099207425,13664.93577480186,0.0053553124,1.0
CPT,1,1000,0.0,410897.5,0.4108975000000063,0.0,514,270,115,129,0.5252918287937743,1.0,1216.8484841110007,0.0,410.8975,0.4108975,0.4108975000000063,1.9455252918287937,410.8975000000063,0.9734787872888008,2433.6969682220015,0.1688367555062526,0.2237354085603113
ECUMI,0,1000,0.0,503985.0,0.5039850000000097,0.0,731,133,138,460,0.18194254445964433,1.0,992.0930186414278,0.0,503.985,0.503985,0.5039850000000097,1.3679890560875514,503.9850000000097,0.7936744149131423,1984.1860372828555,0.2540008802250049,0.18878248974008208
ECUMI,1,1000,0.0,503615.0,0.5036150000000099,0.0,731,119,151,461,0.16279069767441862,1.0,992.8218976797751,0.0,503.615,0.503615,0.5036150000000099,1.3679890560875514,503.6150000000099,0.7942575181438202,1985.6437953595503,0.253628068225005,0.20656634746922026
CTMTI,2,1000,0.0,630240.0,0.630240000000009,0.0,624,275,349,0,0.4407051282051282,1.0,793.3485656257933,0.0,630.24,0.63024,0.630240000000009,1.6025641025641026,630.240000000009,0.6346788525006347,1586.6971312515866,0.3972024576000057,0.5592948717948718
ISMTI,2,1000,0.0,192137.5,0.19213750000000013,0.0,42,0,41,1,0.0,1.0,2602.303038188797,0.0,192.1375,0.1921375,0.19213750000000013,23.80952380952381,192.1375000000001,2.081842430551038,5204.606076377594,0.036916818906250023,0.9761904761904762
LODS-MTI (Adaptive),0,1000,0.002,176592.5,0.17659250000000007,0.0,28,0,28,0,0.0,0.996,2820.05181420502,0.2,176.5925,0.1765925,0.17659250000000007,35.714285714285715,176.59250000000006,2.2651018587992127,5662.754646998032,0.031184911056250014,1.0
LODS-Fixed-128 (Stress),0,1000,0.002,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,0.984,6723.148401202515,0.2,73.18,0.07318,0.07318000000000001,125.0,73.18000000000002,5.4659743099207425,13664.93577480186,0.0053553124,1.0
CPT,2,1000,0.0,410027.5,0.4100275000000062,0.0,514,258,121,135,0.5019455252918288,1.0,1219.4304040582645,0.0,410.0275,0.4100275,0.4100275000000062,1.9455252918287937,410.0275000000062,0.9755443232466116,2438.860808116529,0.16812255075625254,0.23540856031128404
ECUMI,2,1000,0.0,503615.0,0.5036150000000096,0.0,731,129,141,461,0.17647058823529413,1.0,992.8218976797751,0.0,503.615,0.503615,0.5036150000000096,1.3679890560875514,503.6150000000096,0.7942575181438202,1985.6437953595503,0.25362806822500483,0.19288645690834474
CTMTI,0,1000,0.002,634280.0,0.6342800000000093,0.0,628,277,351,0,0.4410828025477707,1.0,788.295390048559,0.2,634.28,0.63428,0.6342800000000093,1.5923566878980893,634.2800000000093,0.6306363120388472,1576.590780097118,0.4023111184000059,0.5589171974522293
ISMTI,0,1000,0.002,200345.0,0.20034500000000008,0.0,44,0,43,1,0.0,1.0,2495.694926252215,0.2,200.345,0.200345,0.20034500000000008,22.727272727272727,200.34500000000008,1.996555941001772,4991.38985250443,0.040138119025000016,0.9772727272727273
