Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,259.3333333333333,1253.3333333333333,265.0,127.0,0.0,0.0,0.0
0.002,259.3333333333333,1253.3333333333333,265.0,127.0,0.0,0.0,0.0
0.004,259.3333333333333,1253.3333333333333,265.0,127.0,0.0,0.0,0.0
0.006,259.3333333333333,1253.3333333333333,265.0,127.0,0.0,0.0,0.0
0.008,259.3333333333333,1253.3333333333333,265.0,127.0,0.6666666666666666,0.0,0.0
0.01,259.3333333333333,1253.3333333333333,265.0,127.0,0.3333333333333333,0.0,0.0
0.012,259.3333333333333,1253.3333333333333,265.0,127.0,1.0,0.0,0.0
0.014,259.3333333333333,1253.3333333333333,265.0,127.0,0.3333333333333333,0.0,0.0
0.016,259.3333333333333,3571.6666666666665,265.0,127.0,0.0,0.0,0.0
0.018,259.3333333333333,3571.6666666666665,265.0,127.0,0.3333333333333333,0.0,0.0
0.02,259.3333333333333,3571.6666666666665,265.0,127.0,2.6666666666666665,0.0,0.0
