Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,2563.6070100650018,6832.46788740093,2715.924841074875
0.002,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,2563.6070100650018,6704.928486836113,2712.1496713102097
0.004,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,2563.6070100650018,3329.6893504600534,2489.522548599751
0.006,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,2108.362705945581,2195.499681151499,1661.3329136281761
0.008,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,1498.024633638075,1630.6823357930218,1201.4060122763758
0.01,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,1263.4392343700815,1334.6087273389815,968.8194043684312
0.012,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,970.561460503196,1056.7550332513438,824.8351776069486
0.014,1219.1455559533968,75.11928366457354,798.1777087882734,992.578938000326,809.3986266313595,901.8857611369227,732.7352534844272
0.016,1219.1455559533968,6.187165054417226,798.1777087882734,992.578938000326,859.827595592254,783.4563177553067,634.8040501547663
0.018,1219.1455559533968,0.670028120947522,798.1777087882734,992.578938000326,609.2131855635347,696.9117245148949,564.8657767438804
0.02,1219.1455559533968,0.282121186566833,798.1777087882734,992.578938000326,595.3637238550201,651.3619385988886,501.9927475039169
