Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.0,0.0,0.0
0.002,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.0,0.0,0.0
0.004,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.0,0.0,0.0
0.006,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.0,0.0,0.0
0.008,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.023456790123456788,0.0,0.0
0.01,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.013333333333333334,0.0,0.0
0.012,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.037037037037037035,0.0,0.0
0.014,0.5045395590142672,0.3521072796934866,0.4269342363593407,0.17373461012311905,0.015151515151515152,0.0,0.0
0.016,0.5045395590142672,0.3569881725803765,0.4269342363593407,0.17373461012311905,0.0,0.0,0.0
0.018,0.5045395590142672,0.3569881725803765,0.4269342363593407,0.17373461012311905,0.017543859649122806,0.0,0.0
0.02,0.5045395590142672,0.3569881725803765,0.4269342363593407,0.17373461012311905,0.12933869199853854,0.0,0.0
