Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,5127.2140201300035,13664.93577480186,5431.84968214975
0.002,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,5127.2140201300035,13664.93577480186,5431.84968214975
0.004,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,5127.2140201300035,13664.93577480186,5293.036287846732
0.006,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,6182.162018629276,13664.93577480186,5246.314464088978
0.008,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,7606.561626065763,13664.93577480186,5246.314464088978
0.01,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,9118.043861237138,13664.93577480186,5246.314464088978
0.012,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,9705.61460503196,13664.93577480186,5350.012317691715
0.014,2438.2911119067935,150.2385673291471,1596.3554175765469,1985.157876000652,9674.580753444749,13664.93577480186,5246.314464088978
0.016,2438.2911119067935,52.8878694426111,1596.3554175765469,1985.157876000652,12078.96553967316,13664.93577480186,5246.314464088978
0.018,2438.2911119067935,52.8878694426111,1596.3554175765469,1985.157876000652,11609.59891444149,13664.93577480186,5397.771478536742
0.02,2438.2911119067935,52.8878694426111,1596.3554175765469,1985.157876000652,11995.381214018562,13664.93577480186,5397.771478536742
