Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9689838585187424,1.0,1.0
0.002,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9689838585187424,1.0,1.0
0.004,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9689838585187424,1.0,1.0
0.006,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9724151395978021,1.0,1.0
0.008,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.943282498184459,1.0,1.0
0.01,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9473463268365817,1.0,1.0
0.012,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9216317767042405,1.0,1.0
0.014,0.23411154345006482,0.1744127936031984,0.5730657636406593,0.19607843137254902,0.9440179573512907,1.0,1.0
0.016,0.23411154345006482,0.17218057637847742,0.5730657636406593,0.19607843137254902,0.9492327365728901,1.0,1.0
0.018,0.23411154345006482,0.17218057637847742,0.5730657636406593,0.19607843137254902,0.9340350877192982,1.0,1.0
0.02,0.23411154345006482,0.17218057637847742,0.5730657636406593,0.19607843137254902,0.8206876953680022,1.0,1.0
