Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,195.1075000000001,73.18000000000002,184.28416666666672
0.002,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,195.1075000000001,73.18000000000002,184.28416666666672
0.004,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,195.1075000000001,73.18000000000002,188.95666666666673
0.006,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,162.11,73.18000000000002,190.61000000000004
0.008,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,132.61666666666667,73.18000000000002,190.61000000000004
0.01,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,110.59083333333338,73.18000000000002,190.61000000000004
0.012,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,103.62750000000005,73.18000000000002,187.0533333333334
0.014,410.12416666667286,6706.52666666682,626.5366666666754,503.73833333334306,104.10166666666673,73.18000000000002,190.61000000000004
0.016,410.12416666667286,18908.02833333044,626.5366666666754,503.73833333334306,84.1175,73.18000000000002,190.61000000000004
0.018,410.12416666667286,18908.02833333044,626.5366666666754,503.73833333334306,87.61083333333336,73.18000000000002,185.54583333333338
0.02,410.12416666667286,18908.02833333044,626.5366666666754,503.73833333334306,84.70833333333336,73.18000000000002,185.54583333333338
