Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,120.33333333333333,620.0,355.3333333333333,143.33333333333334,41.666666666666664,8.0,29.666666666666668
0.002,120.33333333333333,620.0,355.3333333333333,143.33333333333334,41.666666666666664,8.0,29.666666666666668
0.004,120.33333333333333,620.0,355.3333333333333,143.33333333333334,41.666666666666664,8.0,30.666666666666668
0.006,120.33333333333333,620.0,355.3333333333333,143.33333333333334,35.333333333333336,8.0,31.0
0.008,120.33333333333333,620.0,355.3333333333333,143.33333333333334,28.666666666666668,8.0,31.0
0.01,120.33333333333333,620.0,355.3333333333333,143.33333333333334,24.333333333333332,8.0,31.0
0.012,120.33333333333333,620.0,355.3333333333333,143.33333333333334,22.333333333333332,8.0,30.333333333333332
0.014,120.33333333333333,620.0,355.3333333333333,143.33333333333334,23.333333333333332,8.0,31.0
0.016,120.33333333333333,1722.6666666666667,355.3333333333333,143.33333333333334,19.0,8.0,31.0
0.018,120.33333333333333,1722.6666666666667,355.3333333333333,143.33333333333334,19.666666666666668,8.0,30.0
0.02,120.33333333333333,1722.6666666666667,355.3333333333333,143.33333333333334,16.666666666666668,8.0,30.0
