CAPTURE_RATIO_DB,CPT_InfoCom22,CR_MTI,CTMTI,ECUMI,ISMTI,LCA_MTI
0,236.4681122750597,4140.727797600857,4585.24271488328,3277.749524467615,660.2434713372924,4151.566160524963
2,236.4681122750597,4031.764062538658,4324.871456543749,3459.9704612077753,659.5278182509819,4151.31627591306
4,236.4681122750597,4216.995850241814,4598.94179739326,3308.994112340569,660.239370685324,4151.378747066036
6,236.4681122750597,4471.526982817446,4487.360440981569,3489.003265690976,661.1644024435108,4151.941288682283
8,236.4681122750597,4045.9288473246197,3844.6876914311847,3252.206817469022,660.0524393575924,4151.191182919307
10,236.4681122750597,4733.287184916962,2787.567645988438,3478.331920484149,661.0541006369117,4151.191032367644
12,236.4681122750597,3910.422629220644,4896.796576886743,3397.6510636841435,661.943237942637,4151.503538684185
