CAPTURE_RATIO_DB,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,Improve_Two
0,0.87525,1.0,1.0,1.0,1.0,1.0
2,0.8865000000000001,1.0,1.0,1.0,1.0,1.0
4,0.896,1.0,1.0,1.0,1.0,1.0
6,0.913,1.0,1.0,1.0,1.0,1.0
8,0.913,1.0,1.0,1.0,1.0,1.0
10,0.93675,1.0,1.0,1.0,1.0,1.0
12,0.94225,1.0,1.0,1.0,1.0,1.0
