CAPTURE_RATIO_DB,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,Improve_Two
0,375.25,502.25,608.25,259.75,39.25,16.0
2,364.0,349.0,534.0,241.75,9.0,2.75
4,354.5,238.5,486.25,219.5,3.25,0.75
6,337.5,168.25,435.25,206.0,5.5,0.0
8,337.5,108.75,419.75,195.0,3.75,0.25
10,313.75,69.25,383.0,179.75,3.25,0.0
12,308.25,59.75,356.25,168.25,2.25,0.0
