CAPTURE_RATIO_DB,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,Improve_Two
0,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
2,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
4,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
6,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
8,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
10,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
12,413.62375,1373.88875,614.3325,457.8325,185.135625,146.56
