CAPTURE_RATIO_DB,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,Improve_Two
0,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
2,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
4,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
6,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
8,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
10,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
12,413623.75,1373888.75,614332.5,457832.5,185135.625,146560.0
