CAPTURE_RATIO_DB,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,Improve_Two
0,144.75,0.25,0.0,395.25,1.0,0.0
2,144.75,0.25,0.0,395.25,1.0,0.0
4,144.75,0.25,0.0,395.25,1.0,0.0
6,144.75,0.25,0.0,395.25,1.0,0.0
8,144.75,0.25,0.0,395.25,1.0,0.0
10,144.75,0.25,0.0,395.25,1.0,0.0
12,144.75,0.25,0.0,395.25,1.0,0.0
