K,Rho,Run_ID,Drift_Val,Scenario
64,4,3,0.0,Ideal (Drift=0%)
64,4,3,0.0,Ideal (Drift=0%)
64,4,3,0.0,Ideal (Drift=0%)
64,4,3,0.0,Ideal (Drift=0%)
64,4,3,0.0,Ideal (Drift=0%)
40,4,3,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
64,4,6,0.0,Ideal (Drift=0%)
40,4,6,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
64,4,5,0.0,Ideal (Drift=0%)
40,4,5,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
64,4,4,0.0,Ideal (Drift=0%)
40,4,4,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
