missing_rate_pct,Adaptive (Ours),Fixed (rho=2),Fixed (rho=4)
1.0,76307.5,71760.0,140972.5
5.0,76307.5,71760.0,140972.5
10.0,76307.5,71760.0,140972.5
25.0,76307.5,71760.0,140972.5
50.0,76307.5,71760.0,140972.5
