Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,30.5,,,,,,,,,,,,
0.05,,30.4,,,,,,,,,,,
0.1,,,30.6,,,,,,,,,,
0.15,,,,30.6,,,,,,,,,
0.2,,,,,30.6,,,,,,,,
0.25,,,,,,30.3,,,,,,,
0.3,,,,,,,30.6,,,,,,
0.35,,,,,,,,29.5,,,,,
0.4,,,,,,,,,30.0,,,,
0.45,,,,,,,,,,27.7,,,
0.5,,,,,,,,,,,24.3,,
0.55,,,,,,,,,,,,19.8,
0.6,,,,,,,,,,,,,12.5
