algorithm_name,run_id,Burst,Jitter,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Reliability,Metric_Value,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
LODS (rho=2),1,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),0,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),2,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),3,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),4,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),5,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),6,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),7,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),8,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),9,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),10,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),11,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),12,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),13,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),14,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),16,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),15,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),17,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),19,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),18,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),20,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),21,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),22,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),24,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),23,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),26,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),25,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),27,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),29,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),28,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),30,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),33,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),31,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),34,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),37,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),38,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),36,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),39,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),42,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),41,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),40,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),45,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),44,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),46,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),43,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),48,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
