Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
110,0.1863475,0.1863475,0.1863475,0.1863475,0.078065
111,0.1863475,0.1863475,0.1863475,0.1863475,0.0840625
112,0.1863475,0.1863475,0.1863475,0.1863475,0.0824625
113,0.1863475,0.1863475,0.1863475,0.16877,0.078065
114,0.1863475,0.1863475,0.1863475,0.16877,0.078065
115,0.1863475,0.1863475,0.1863475,0.143595,0.078065
116,0.1863475,0.1863475,0.1863475,0.16877,0.078065
117,0.1863475,0.1863475,0.1863475,0.1539775,0.078065
118,0.1863475,0.173155,0.1863475,0.1599625,0.078065
119,0.1863475,0.1863475,0.16877,0.135975,0.078065
120,0.1863475,0.1863475,0.1863475,0.18195,0.078065
121,0.1863475,0.1863475,0.173155,0.100855,0.078065
122,0.1863475,0.1863475,0.1863475,0.1239925,0.078065
123,0.1863475,0.1863475,0.173155,0.11521,0.078065
124,0.1863475,0.15955,0.18195,0.078065,0.078065
125,0.1863475,0.1791525,0.16717,0.0884475,0.078065
126,0.1863475,0.1863475,0.1639475,0.078065,0.078065
127,0.1863475,0.155165,0.1431825,0.078065,0.078065
128,0.1863475,0.16877,0.106415,0.078065,0.078065
129,0.1863475,0.1299775,0.1188075,0.0824625,0.078065
130,0.1863475,0.1539775,0.1032275,0.078065,0.078065
131,0.1863475,0.11521,0.0840625,0.078065,0.078065
132,0.1863475,0.1299775,0.092845,0.078065,0.078065
133,0.1863475,0.0988425,0.0840625,0.078065,0.078065
134,0.1863475,0.096045,0.078065,0.078065,0.078065
135,0.1863475,0.096045,0.0840625,0.078065,0.078065
136,0.18355,0.0900475,0.0840625,0.078065,0.078065
137,0.183525,0.08405,0.078065,0.078065,0.078065
138,0.1863475,0.078065,0.078065,0.078065,0.078065
139,0.18355,0.078065,0.078065,0.078065,0.078065
140,0.1863475,0.078065,0.078065,0.078065,0.078065
141,0.1807525,0.078065,0.078065,0.078065,0.078065
142,0.18355,0.078065,0.078065,0.078065,0.078065
143,0.18355,0.078065,0.078065,0.078065,0.078065
144,0.18355,0.078065,0.078065,0.078065,0.078065
145,0.18355,0.078065,0.078065,0.078065,0.078065
146,0.1807525,0.078065,0.078065,0.078065,0.078065
147,0.1807525,0.078065,0.078065,0.078065,0.078065
148,0.177955,0.078065,0.078065,0.078065,0.078065
149,0.172335,0.078065,0.078065,0.078065,0.078065
150,0.172335,0.078065,0.078065,0.078065,0.078065
151,0.166765,0.078065,0.078065,0.078065,0.078065
152,0.16674,0.078065,0.078065,0.078065,0.078065
153,0.161145,0.078065,0.078065,0.078065,0.078065
154,0.1583725,0.078065,0.078065,0.078065,0.078065
155,0.155575,0.078065,0.078065,0.078065,0.078065
156,0.149955,0.078065,0.078065,0.078065,0.078065
157,0.149955,0.078065,0.078065,0.078065,0.078065
158,0.149955,0.078065,0.078065,0.078065,0.078065
159,0.14436,0.078065,0.078065,0.078065,0.078065
160,0.14436,0.078065,0.078065,0.078065,0.078065
161,0.14436,0.078065,0.078065,0.078065,0.078065
162,0.14436,0.078065,0.078065,0.078065,0.078065
163,0.14436,0.078065,0.078065,0.078065,0.078065
164,0.14436,0.078065,0.078065,0.078065,0.078065
165,0.14436,0.078065,0.078065,0.078065,0.078065
