Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
132,186.3475,129.9775,92.845,78.065,78.065
133,186.3475,98.8425,84.0625,78.065,78.065
134,186.3475,96.045,78.065,78.065,78.065
135,186.3475,96.045,84.0625,78.065,78.065
136,183.55,90.0475,84.0625,78.065,78.065
137,183.525,84.05,78.065,78.065,78.065
138,186.3475,78.065,78.065,78.065,78.065
139,183.55,78.065,78.065,78.065,78.065
140,186.3475,78.065,78.065,78.065,78.065
141,180.7525,78.065,78.065,78.065,78.065
142,183.55,78.065,78.065,78.065,78.065
143,183.55,78.065,78.065,78.065,78.065
144,183.55,78.065,78.065,78.065,78.065
145,183.55,78.065,78.065,78.065,78.065
146,180.7525,78.065,78.065,78.065,78.065
147,180.7525,78.065,78.065,78.065,78.065
148,177.955,78.065,78.065,78.065,78.065
149,172.335,78.065,78.065,78.065,78.065
150,172.335,78.065,78.065,78.065,78.065
151,166.765,78.065,78.065,78.065,78.065
152,166.74,78.065,78.065,78.065,78.065
153,161.145,78.065,78.065,78.065,78.065
154,158.3725,78.065,78.065,78.065,78.065
155,155.575,78.065,78.065,78.065,78.065
156,149.955,78.065,78.065,78.065,78.065
157,149.955,78.065,78.065,78.065,78.065
158,149.955,78.065,78.065,78.065,78.065
159,144.36,78.065,78.065,78.065,78.065
160,144.36,78.065,78.065,78.065,78.065
161,144.36,78.065,78.065,78.065,78.065
162,144.36,78.065,78.065,78.065,78.065
163,144.36,78.065,78.065,78.065,78.065
164,144.36,78.065,78.065,78.065,78.065
165,144.36,78.065,78.065,78.065,78.065
166,144.36,78.065,78.065,78.065,78.065
167,144.36,78.065,78.065,78.065,78.065
168,144.36,78.065,78.065,78.065,78.065
169,144.36,78.065,78.065,78.065,78.065
170,144.36,78.065,78.065,78.065,78.065
171,144.36,78.065,78.065,78.065,78.065
172,144.36,78.065,78.065,78.065,78.065
173,144.36,78.065,78.065,78.065,78.065
174,144.36,78.065,78.065,78.065,78.065
175,144.36,78.065,78.065,78.065,78.065
176,144.36,78.065,78.065,78.065,78.065
177,144.36,78.065,78.065,78.065,78.065
178,144.36,78.065,78.065,78.065,78.065
179,144.36,78.065,78.065,78.065,78.065
180,144.36,78.065,78.065,78.065,78.065
