MISSING_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,438.99327500000726,555.7818000000003,732.6760600000155,481.2441500000079,210.3889390000001,80.748511,102.49167200000002
0.05,438.3094876875073,1476.649564499996,731.6130365850153,480.2841761250079,227.23192714500016,80.67626175000001,102.42181320000002
0.1,437.2677135000072,1554.4959359999941,728.2068096550151,479.28758150000783,231.24804014250012,80.603918,102.35200120000002
0.15000000000000002,435.8173039375071,1590.641035999993,722.5372016950147,477.98389150000787,228.48289912500013,80.53159405,102.55112467500003
0.2,434.09772000000703,1543.559957999994,714.8112430500142,476.49477600000785,222.44060282625014,80.62135559999999,104.24145510000001
0.25,432.021711562507,1538.0995274999943,706.4311630800136,474.9882612500079,217.4969998250001,86.21463761875,117.13937528125003
0.3,429.66281900000683,1500.2841608749952,695.516349440013,473.07315550000783,213.27530606875013,105.9521552875,142.48746616250003
0.35,426.8134983750068,1467.168196312496,680.749097565012,470.74075912500774,208.85658504750012,131.13648045,167.72428695000005
0.39999999999999997,423.71576878750665,1466.247607224996,661.9894751025109,467.9498751150078,199.1571132081251,143.480488765625,181.90489229250005
0.44999999999999996,420.28129761750654,1446.7853251087465,642.4794933450096,464.6452500900076,192.0274362993751,147.18934240125,189.68515798875006
0.49999999999999994,416.36549050125643,1390.4473604237478,617.4311295700079,460.7394153025076,188.0097286793751,147.397544906875,193.18585219875007
0.5499999999999999,412.4096738250062,1356.783690962499,589.2876406575062,455.82443705750757,179.4283127250001,147.52483775,194.36060697875004
0.6,407.78381650000597,1345.652280999999,557.4393800050041,450.66811300000734,168.07653485500006,147.4157306,194.38878220000007
0.65,402.8536552500058,1291.9872802500004,521.6759155350018,444.6116111250073,159.20037675000003,147.3087825,194.27245042500005
0.7000000000000001,397.6264252500055,1264.112099375001,480.2241567250003,437.19708900000705,157.91028054500003,147.2018452,194.06857990000006
0.7500000000000001,392.00082406250533,1199.7014850000028,432.86483070999975,428.78823812500696,150.06914333375,147.09483229999998,193.77730150000008
0.8000000000000002,386.097319500005,1138.297014000004,377.00096009999913,419.03435400000683,135.24326520750003,146.9879004,193.42608300000003
0.8500000000000002,379.95627050000473,1064.8319908750066,314.7188996099985,407.54837962500653,124.43831494875005,146.8808875,192.40869353750003
0.9000000000000002,373.4038673750045,928.7579881250074,238.62271561999802,394.4625530000061,108.49554433250005,146.7738746,189.37769145000004
