MISSING_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,2300.9002272138973,1819.0582735317926,1378.9679803634958,2098.9662591173847,4832.201792746865,12609.942940008197,9891.686037885158
0.05,2303.3408334994588,699.7468319741779,1380.2687288487625,2102.1108850631163,4483.925157024667,12609.942940008197,9891.686037885158
0.1,2307.67716517582,658.0551581779446,1386.0309662597215,2105.4306305076107,4401.527013090105,12609.942940008197,9891.686037885158
0.15000000000000002,2314.2031709155053,645.2701103305485,1396.2137106824734,2110.1166443888137,4443.595910195512,12609.942940008197,9866.599269570439
0.2,2322.21095865664,662.0072788317487,1410.6057073316229,2115.651310870317,4562.417416997028,12585.488034151995,9704.157228352018
0.25,2332.2051927868188,662.9817743354266,1426.6442510582153,2121.2993861213886,4670.420593294928,11779.03736291419,8649.08872672151
0.3,2343.8368779263865,680.3334507683882,1448.320958477128,2128.8268191838542,4754.2392898947965,9582.087446224776,7103.1675721331485
0.35,2358.304374698984,694.4636355717155,1479.0211422401283,2138.3066337731757,4848.370839981077,7717.803165683339,6018.652869336676
0.39999999999999997,2374.3803209849157,693.0710182971883,1520.2330784145033,2150.0029482971627,5087.215845028256,7042.128410143935,5542.418190921964
0.44999999999999996,2392.585190975138,701.2983640551699,1565.642459226822,2164.209977280893,5275.8181056158255,6850.126364024218,5309.88379330456
0.49999999999999994,2413.876159279589,729.3221573351834,1628.3991025059925,2181.469651391033,5387.547183705787,6834.7314553667575,5209.142091257199
0.5499999999999999,2435.8077295929043,746.2113868806575,1705.3286251346076,2203.885684931054,5640.906747913559,6823.144104803493,5173.138954181529
0.6,2462.1793664560128,753.3554481158744,1801.8883313521437,2227.9591979822417,6015.478424866147,6823.144104803493,5169.107447562466
0.65,2491.0601150776884,783.0680841028989,1924.6203428299464,2257.169465809683,6343.2413626046455,6823.144104803493,5169.107447562466
0.7000000000000001,2522.541143239048,800.4794152930594,2090.1446509644825,2294.289715219658,6405.9510003807845,6823.144104803493,5171.45781020928
0.7500000000000001,2557.4554525594285,843.1110684228563,2318.201686907741,2338.108435434513,6758.491701442648,6823.144104803493,5176.158535502907
0.8000000000000002,2595.2512184424877,885.7300965581442,2661.2675220432056,2391.318664723006,7477.177738292949,6823.144104803493,5182.510928485401
0.8500000000000002,2635.8693908109226,944.6225191627252,3186.392836032937,2457.4712343698366,8125.427002870829,6823.144104803493,5206.9995968649355
0.9000000000000002,2680.769880070404,1084.831856972288,4202.765910185092,2537.6852999240227,9366.089994915155,6823.144104803493,5288.66923636972
