TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,20.45,15.9025,18.4025,27.585
200,34.205,29.6575,35.4825,55.18249999999999
300,48.785,44.2375,51.7375,85.765
400,62.552499999999995,58.00500000000001,68.005,113.375
500,76.3075,71.76,84.26,140.9725
600,90.075,85.5275,100.5275,168.5825
700,103.8425,99.295,116.795,199.14
800,117.60999999999999,113.0625,133.0625,226.75
900,133.5125,128.965,151.465,254.31
1000,147.2675,142.72,168.545,281.945
