TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,0.00041902484690312493,0.00025346390156828124,0.0003394730073339061,0.000762369054963525
200,0.0011735869592151248,0.0008824502087651873,0.00126329392548225,0.003053939292783438
300,0.002389656730120001,0.0019651913827656254,0.0026884285856593752,0.007381266592687001
400,0.003932478872324501,0.0033818645173140016,0.004649118859441,0.012910394911
500,0.005857569848526628,0.0051806943845280045,0.007143807191917003,0.019978667606789877
600,0.008169438957300003,0.007365962498706254,0.010177745039016256,0.028596612471141265
700,0.01086754952153388,0.009937245993020503,0.013750671384325761,0.03993794393941803
800,0.013952928148600002,0.012895571597625003,0.017864020917625015,0.05182667566900005
900,0.017996993263449067,0.01679278828119888,0.02316692682561289,0.06525661536362909
1000,0.02191593409983026,0.020584327599616013,0.02871183012716203,0.08027376787055178
