TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,0.020490212562499995,0.0159386198125,0.018447113562499996,0.027637087365
200,0.03431039202499999,0.029754706524999997,0.0356032953,0.05534253237500001
300,0.048983432000000014,0.044423653750000014,0.051962862250000005,0.0860638558
400,0.06286685380000002,0.05830298280000003,0.0683643682,0.113873384
500,0.07676270155000005,0.07219473780000005,0.08478290045000003,0.14172031855
600,0.09069596400000003,0.08612390750000004,0.10124339150000006,0.16962978050000008
700,0.10465415915000002,0.10007800990000004,0.11773339085000008,0.20055209370000013
800,0.11863726000000004,0.11405701800000004,0.1342528580000001,0.22856306800000023
900,0.13479631692500002,0.13021198217500002,0.15295234427500012,0.2566026320775002
1000,0.14881718030000007,0.14422875280000008,0.17035112360000018,0.284714280695
