TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,5,4,4,6
200,8,7,7,12
300,11,10,10,19
400,14,13,13,25
500,17,16,16,31
600,20,19,19,37
700,23,22,22,44
800,26,25,25,50
900,30,29,29,56
1000,33,32,32,62
