TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,20450.0,15902.5,18402.5,27585.0
200,34205.0,29657.5,35482.5,55182.5
300,48785.0,44237.5,51737.5,85765.0
400,62552.5,58005.0,68005.0,113375.0
500,76307.5,71760.0,84260.0,140972.5
600,90075.0,85527.5,100527.5,168582.5
700,103842.5,99295.0,116795.0,199140.0
800,117610.0,113062.5,133062.5,226750.0
900,133512.5,128965.0,151465.0,254310.0
1000,147267.5,142720.0,168545.0,281945.0
