algorithm_name,run_id,Guard_Interval_Bits,TOTAL_TAGS,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI,0,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,1,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,2,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,3,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,4,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,5,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,6,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,7,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,8,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,9,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,12,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,11,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,10,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,13,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,14,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,15,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,18,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,16,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,17,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,19,0.0,2000,152482.5,0.15248250000000002,0.0,17,0,17,0,0.0,152.4825,0.1524825,0.15248250000000002,117.6470588235294,76.24125000000001,5.246503697145575,13116.259242863936,0.023250912806250003,1.0
LODS-MTI,0,0.2,2000,162397.5,0.16239750000000008,0.0,17,0,17,0,0.0,162.3975,0.1623975,0.16239750000000008,117.6470588235294,81.19875000000005,4.926184208500747,12315.460521251867,0.026372948006250015,1.0
LODS-MTI,2,0.2,2000,162397.5,0.16239750000000008,0.0,17,0,17,0,0.0,162.3975,0.1623975,0.16239750000000008,117.6470588235294,81.19875000000005,4.926184208500747,12315.460521251867,0.026372948006250015,1.0
LODS-MTI,1,0.2,2000,162397.5,0.16239750000000008,0.0,17,0,17,0,0.0,162.3975,0.1623975,0.16239750000000008,117.6470588235294,81.19875000000005,4.926184208500747,12315.460521251867,0.026372948006250015,1.0
