Guard_Interval_Bits,CPT,ISMTI,LODS-MTI
0.0,2000,2000,2000
0.2,2000,2000,2000
0.4,2000,2000,2000
0.6,2000,2000,2000
0.8,2000,2000,2000
1.0,2000,2000,2000
1.5,2000,2000,2000
2.0,2000,2000,2000
