GroupSize,Improve_One
4,1711.8890695882906
8,3125.879153511925
12,3152.1876182070355
16,4204.507231752439
24,4281.83005416515
32,6815.703380588877
48,6815.703380588877
64,9712.509712509713
128,11706.175007316358
256,11706.175007316358
